
Name	Chinese	Taiwanese	Hakka	Code
Banqiao	板橋	Pang-kiô	Piông-khiâu	BL07
Beimen	北門	Pak-mn̂g	Pet-mùn	G13
Beitou	北投	Pak-tâu	Pet-thèu	R22
Cailiao	菜寮	Chhài-liâu	Chhoi-liâu	O14
Chiang Kai-Shek Memorial Hall	中正紀念堂	Tiong-chèng Kì-liām-tn̂g	Chûng-chang Ki-ngiam-thòng	R08/G10
Daan	大安	Tāi-an	Thai-ôn	BR09/R05
Daan Park	大安森林公園	Tāi-an Sim-lîm Kong-hn̂g	Thai-ôn Sêm-lìm Kûng-yèn	R06
Dahu Park	大湖公園	Tōa-ô͘ Kong-hn̂g	Thai-fù Kûng-yèn	BR20
Danfeng	丹鳳	Tan-hōng	Tan-fung	O20
Dapinglin	大坪林	Toā-pêⁿ-nâ	Thai-phiâng-lìm	G04
Daqiaotou	大橋頭	Tōa-kiô-thâu	Thai-khiâu-theù	O12
Dazhi	大直	Tāi-ti̍t	Thai-chhṳ̍t	BR14
Dingpu	頂埔	Téng-po͘	Táng-phû	BL01
Dingxi	頂溪	Téng-khe	Táng-hâi	O04
Donghu	東湖	Tang-ô͘	Tûng-fù	BR22
Dongmen	東門	Tang-mn̂g	Tûng-mùn	R07/O06
Far Eastern Hospital	亞東醫院	A-tang Pēⁿ-īⁿ	Â-tûng Yî-yèn	BL05
Fu Jen University	輔大	Hú-tāi	Phú-thai	O19
Fuxinggang	復興崗	Ho̍k-heng-kong	Fu̍k-hîn-kông	R23
Fuzhong	府中	Hú-tiong	Fú-chûng	BL06
Gangqian	港墘	Káng-kîⁿ	Kóng-chhièn	BR17
Gongguan	公館	Kong-koán	Kûng-kón	G07
Guandu	關渡	Kan-tāu	Koân-thu	R25
Guting	古亭	Kó͘-têng	Kú-thìn	O05/G09
Haishan	海山	Hái-san	Hói-sân	BL04
Hongshulin	紅樹林	Âng-chhiū-nâ	Fùng-su-lìm	R27
Houshanpi	後山埤	Āu-soaⁿ-pi	Heu-sân-phî	BL20
Huilong	迴龍	Hôe-liông	Fûi-liùng	O21
Huzhou	葫洲	Ô͘-chiu	Fù-chû	BR21
Jiangzicui	江子翠	Káng-á-chhuì	Kông-chṳ́-chhù	BL09
Jiannan Road	劍南路	Kiàm-lâm-lō͘	Kiam-nàm-lu	BR15
Jiantan	劍潭	Kiàm-thâm	Kiam-thâm	R15
Jingan	景安	Kéng-an	Kín-ôn	O02
Jingmei	景美	Kéng-bí	Kín-mî	G05
Kunyang	昆陽	Khun-iông	Khûn-yòng	BL21
Linguang	麟光	Lîn-kong	Lîn-kông	BR06
Liuzhangli	六張犁	La̍k-tiuⁿ-lê	Liuk-chông-lài	BR07
Longshan Temple	龍山寺	Liông-san-sī	Liùng-sân-sṳ̀	BL10
Luzhou	蘆洲	Lô͘-chiu	Lù-chû	O54
Mingde	明德	Bêng-tek	Mìn-tet	R18
Minquan West Road	民權西路	Bîn-koân-se-lō͘	Mìn-khièn-sî-lu	R13/O11
Muzha	木柵	Ba̍k-sa	Muk-cha	BR02
Nangang	南港	Lâm-káng	Nàm-kóng	BL22
Nangang Software Park	南港軟體園區	Lâm-káng Nńg-thé Hn̂g-khu	Nàm-kóng Ngiôn-thí Yèn-khî	BR23
Nanjing Fuxing	南京復興	Lâm-kiaⁿ Ho̍k-heng	Nàm-kîn Fu̍k-hîn	BR11/G16
Nanjing Sanmin	南京三民	Lâm-kiaⁿ Sam-bîn	Nàm-kîn Sâm-mìn	G18
Nanshijiao	南勢角	Lâm-sì-kak	Nàm-sṳ-kok	O01
National Taiwan University Hospital	台大醫院	Tâi-tāi Pēⁿ-īⁿ	Thòi-thai Yî-yen	R09
Neihu	內湖	Lāi-ô͘	Nui-fù	BR19
Qilian	唭哩岸	Ki-lí-gān	Kî-lí-ngan	R20
Qiyan	奇岩	Kî-giâm	Khì-ngâm	R21
Qizhang	七張	Chhit-tiuⁿ	Chhit-chông	G03
Sanchong	三重	Saⁿ-têng-po͘	Sâm-chhùng	O15
Sanchong Elementary School	三重國小	Sam-tiông Kok-sió	Sâm-chhùng Koet-seú	O50
Sanhe Junior High School	三和國中	Sam-hô Kok-tiong	Sâm-fò Koet-chûng	O51
Sanmin Senior High School	三民高中	Sam-bîn Ko-tiong	Sâm-mìn Kô-chûng	O53
Shandao Temple	善導寺	Siān-tō-sī	San-thô-sṳ̀	BL13
Shilin	士林	Sū-lîm	Sṳ-lìm	R16
Shipai	石牌	Chio̍h-pâi-á	Sa̍k-phài	R19
Shuanglian	雙連	Siang-liân	Sûng-lièn	R12
